Gender,Norwegian ,Class,Grammatical Form ,English ,
et,livssyn,,noun,"livssynet, livssyn, livssynene","life philosophy, view of life"
,loddrett,,adj.,"loddrett, loddrette",vertical
en,loff,,noun,"loffen, loffer, loffene","white bread, French bread"
et,loft,,noun,"loftet, loft, loftene",attic
en,lokalbåt,,noun,"lokalbåten, lokalbåter, lokalbåtene",local boat
å,lokke,,verb,"lokker, lokket, har lokket",lure
ei/en,lommebok,,noun,"lommeboka/lommeboken, lommebøker, lommebøkene",pocketbook
ei/en,lompe,,noun,"lompa/lompen, lomper, lompene",potato tortilla
en,lotto,,noun,"lottoen, lottoer, lottoene",lottery
en,lov,,noun,"loven, lover, lovene",permission; law
å,love,,verb,"lover, lovet/lovte/lovde, har lovet/har lovt/har lovd",promise
ei/en,lue,,noun,"lua/luen, luer, luene",stocking cap
ei/en,luft,,noun,lufta/luften,air
å,lukke,,verb,"lukker, lukket, har lukket",close
,lukket,,adj.,"lukket, lukkede/lukkete",closed
en,lunsj,,noun,"lunsjen, lunsjer, lunsjene",lunch
,lur,,adj./adv.,"lurt, lure",clever; cleverly
ei/en,lusekofte,,noun,"lusekofta/lusekoften, lusekofter, lusekoftene",Norwegian cardigan sweater
en,lutefisk,,noun,lutefisken,lutefisk
en,lyd,,noun,"lyden, lyder, lydene",sound
en,lyddusj,,noun,"lyddusjen, lyddusjer, lyddusjene",“sound shower” at Gardermoen airport
,lykkelig,,adj./adv.,"lykkelig, lykkelige",happy
et,lyn,,noun,"lynet, lyn, lynene",lightning
,• lyn og torden,,,,• lightning and thunder
å,lyne,,verb,"lyner, lynte, har lynt",lightning
,lys,,adj.,"lyst, lyse","light, blonde"
et,lys,,noun,"lyset, lys, lysene",light; candle
ei/en,lysekrone,,noun,"lysekrona/lysekronen, lysekroner, lysekronene",chandelier
ei/en,lyst,,noun,"lysta/lysten, lyster, lystene",desire
å,lytte,,verb,"lytter, lyttet, har lyttet",listen
å,lære,,verb,"lærer, lærte, har lært",teach; learn
,• lære norsk,,,,• learn Norwegian
en,lærer,,noun,"læreren, lærere, lærerne",teacher
en,løk,,noun,"løken, løker, løkene",onion
ei/en,lønn,,noun,"lønna/lønnen, lønner, lønnene",salary
å,løpe,,verb,"løper, løp, har løpt",run
en,lørdag,,noun,"lørdagen, lørdager, lørdagene",Saturday
et,løv,,noun,"løvet, løv, løvene","foliage, leaves"
ei/en,løve,,noun,"løva/løven, løver, løvene",lion
et,lån,,noun,"lånet, lån, lånene",loan
å,låne,,verb,"låner, lånte, har lånt",borrow
et,lår,,noun,"låret, lår, lårene",thigh
,,,,,
,,,,,
,,,,,
mac,,noun,"macen, macer, macene",Macintosh computer,
en,mage,,noun,"magen, mager, magene",stomach
,magisk,,adj.,"magisk, magiske",magical
,mai,,noun,,May
en,mais,,noun,"maisen, maiser, maisene",corn
en,majones,,noun,"majonesen, majoneser, majonesene",mayonnaise
en,makaroni,,noun,makaronien,macaroni
en,makrell,,noun,"makrellen, makreller, makrellene",mackerel
,• makrell i tomat,,,,• mackerel in tomato sauce
å,male,,verb,"maler, malte, har malt",paint
en,maler,,noun,"maleren, malere, malerne",painter
et,maleri,,noun,"maleriet, malerier, maleriene",painting
ei/en,maling,,noun,"malinga/malingen, malinger, malingene",paint
en,mamma,,noun,"mammaen, mammaer, mammaene",momma
,man,,pron.,,one
en,manager,,noun,"manageren, managere, managerne",manager
en,mandag,,noun,"mandagen, mandager, mandagene",Monday
,mange,,adj.,,many
,• Jeg har mange studenter.,,,,• I have many students.
,• mange ganger,,,,• many times
,mange,,pron.,,many
,• Mange drikker kaffe.,,,,• Many drink coffee.
en,mann,,noun,"mannen, menn, mennene",man; husband
en,margarin,,noun,"margarinen, margariner, margarinene",margarine
ei/en,markedsføring,,noun,"føringa/-føringen, -føringer, -føringene",marketing
,Marokko,,noun,,Morocco
en,marokkaner,,noun,"marokkaneren, marokkanere, marokkanerne",person from Morocco
,marokkansk,,adj.,"marokkansk, marokkanske",Moroccan
,mars,,noun,,March
ei/en,marsipankake,,noun,"marsipankaka/-kaken, marsipankaker, marsipankakene",marzipan cream cake
å,marsjere,,verb,"marsjerer, marsjerte, har marsjert",march
å,mase,,verb,"maser, maste, har mast","bother, nag"
,• mase på noen,,,,• nag someone
en,mat,,noun,"maten, mater, matene",food
en,matboks,,noun,"matboksen, matbokser, matboksene",lunch box
en,matbutikk,,noun,"matbutikken, matbutikker, matbutikkene",grocery store
en,matematikk,,noun,"matematikken, matematikker, matematikkene",mathematics
ei/en,matlaging,,noun,matlaginga/matlagingen,cooking
ei/en,matpakke,,noun,"matpakka/matpakken, matpakker, matpakkene",packed lunch
en,matte,,noun,matten,"math, mathematics"
en,matvane,,noun,"matvanen, matvaner, matvanene",eating habit
ei/en,matvare,,noun,"matvara/matvaren, matvarer, matvarene",food item
en,matvarebutikk,,noun,"matbutikken, matbutikker, matbutikkene",grocery store
,med,,adv./prep.,,with
en,medisin,,noun,"medisinen, medisiner, medisinene",medicine
ei/en,medisterkake,,noun,"medisterkaka/-kaken, medisterkaker, medisterkakene",pork patty
et,medlemskap,,noun,"medlemskapet, medlemskap, medlemskapene",membership
,meg,,pron.,,me; myself
å,mekke,,verb,"mekker, mekket, har mekket","repair, fix"
,• mekke bil,,,,"• repair, work on a car"
en,meksikaner,,noun,"meksikaneren, meksikanere, meksikanerne",person from Mexico
,meksikansk,,adj.,"meksikansk, meksikanske",Mexican
et,mel,,noun,"melet, mel, melene",flour
å,melde,,verb,"melder, meldte, har meldt","report, inform"
ei/en,melk,,noun,"melka/melken, melker, melkene",milk
en,melkesjokolade,,noun,"melkesjokoladen, melkesjokolader, melkesjokoladene",milk chocolate
,mellom,,prep.,,between
et,mellomnivå,,noun,"mellomnivået, mellomnivåer, mellomnivåene",intermediate level
,• på mellomnivå,,,,• at the intermediate level
en,melon,,noun,"melonen, meloner, melonene",melon
,men,,"conj., coord.",,but
å,mene,,verb,"mener, mente, har ment","have the opinion, think"
,meningsfylt,,adj.,"meningsfylt, meningsfylte",meaningful
et,menneske,,noun,"mennesket, mennesker, menneskene",person
en,meny,,noun,"menyen, menyer, menyene",menu
,mer,,adj./adv.,comparative of “mye”,more
et,merke,,noun,"merket, merker, merkene",notice
,meslinger,,"noun, pl.",meslingene,measles
,mest,,adj.,"superlative of ""mye""",most
en,mestepart,,noun,"mesteparten, mesteparter, mestepartene","most, the majority"
,mett,,adj.,"mett, mette",full
,• Jeg er mett,,,,I am full (when eating)
,Mexico,,noun,,Mexico
en,meksikaner,,noun,"meksikaneren, meksikanere, meksinakerne",person from Mexico
,meksikansk,,adj.,"meksikansk, meksikanske",Mexican
en,middag,,noun,"middagen, middager, middagene",dinner
et,middagsservise,,noun,"middagsserviset, middagsserviser, middagsservisene","dinnerware, dishes"
,middels,,adj.,"middels, middels","average, medium"
,• middels høy,,,,medium tall
,midlertidig,,adj./adv.,"midlertidig, midlertidige",temporary; temporarily
ei/en,midnattssol,,noun,"midnattssola/midnattssolen, midnattssoler, midnattssolene",midnight sun
en,midtgang,,noun,"midtgangen, midtganger, midtgangene",aisle
,Midtvesten,,noun,,the Midwest of the U.S.
,Midtøsten,,noun,,the Middle East
en,migrene,,noun,"migrenen, migrener, migrenene",migraine
en,mikrobølgeovn,,noun,"mikrobølgeovnen, mikrobølgeovner, mikrobølgeovnene",microwave oven
,mild,,adj./adv.,"mildt, milde",mild
et,militær,,noun,"militæret, militærer, militærene",military
et,miljø,,noun,"miljøet, miljøer, miljøene","environment, milieu"
,• et dårlig/godt sosialt miljø,,,,• a bad/good social environment
et,miljøfag,,noun,"miljøfaget, miljøfag, miljøfagene",environmental studies
,miljøskadelig,,adj.,"miljøskadelig, miljøskadelige",damaging for the environment
,miljøstudier,,"noun, pl.",miljøstudiene,environmental studies
,miljøvennlig,,adj.,"miljøvennlig, miljøvennlige",positive for the environment
en,million,,noun,"millionen, millioner, millionene",million
,min,,"det., poss.","mi, mitt, mine",my
,mindre,,adj./adv.,comparative of “liten/lite”,smaller; less
et,mineralvann,,noun,"mineralvannet, mineralvann, mineralvannene",mineral water
,• minne meg på,,,,• remind me
å,minne,,verb,"minner, minnet/minte, har minnet/har mint",remind
,minst,,adj./adv.,superlative of “liten/lite”,smallest; least
et,minutt,,noun,"minuttet, minutter, minuttene",minute
et,mirakel,,noun,"mirakelet, mirakler, miraklene",miracle
,misfornøyd,,adj.,"misfornøyd, misfornøyde",dissatisfied
å,miste,,verb,"mister, mistet, har mistet",lose
,• miste nøklene,,,,• lose the keys
en,mobil,,noun,"mobilen, mobiler, mobilene",mobile phone
et,mobilabonnement,,noun,"-abonnementet, -abonnementer, -abonnementene",cellular service
en,mobiltelefon,,noun,"mobiltelefonen, mobiltelefoner, mobiltelefonene",cellular telephone
et,modalverb,,noun,"modalverbet, modalverb/modalverbet, modalverbene",modal verb
ei/en,modellbygging,,noun,"-bygginga/-byggingen, -bygginger, -byggingene",model building
,moderne,,adj.,"moderne, moderne","modern, contemporary"
et,monarki,,noun,"monarkiet, monarkier, monarkiene",monarchy
,• konstitusjonelt monarki,,,,• constitutional monarchy
et,monument,,noun,"monumentet, monumenter, monumentene",monument
en,moped,,noun,"mopeden, mopeder, mopedene",moped
ei/en,mor,,noun,"mora/moren mødre, mødrene",mother
en,morfar,,noun,"morfaren, morfedre, morfedrene",maternal grandfather
en,morgen,,noun,"morgenen, morgener, morgenene",morning
en,morgenfugl,,noun,"morgenfuglen, morgenfugler, morgenfuglene",early bird
ei/en,mormor,,noun,"mormora/mormoren mormødre, mormødrene",maternal grandmother
,morn,,interj.,,"hi, hello"
,morn da,,interj.,,goodbye
,moro,,adj.,"moro, moro",fun; funny
ei/en,moro,,noun,moroa/moroen,fun; entertainment
et,morsmål,,noun,"morsmålet, morsmål, morsmålene",native language
,morsom,,adj.,"morsomt, morsomme",funny; fun
en,mosjon,,noun,"mosjonen, mosjoner, mosjonene",exercise
å,mosjonere,,verb,"mosjonerer, mosjonerte, har mosjonert",exercise
,mot,,prep.,,"toward, against"
en,mote,,noun,"moten, moter, motene","fashion, style"
,• siste mote,,,,• latest fashion
en,motebutikk,,noun,"motebutikken, motebutikker, motebutikkene",fashion clothing store
en,motorbåt,,noun,"motorbåten, motorbåter, motorbåtene",motorboat
en,motorsykkel,,noun,"motorsykkelen, motorsykler, motorsyklene",motorcycle
,motsatt,,adj.,"motsatt, motsatte",opposite
,• det motsatte,,,,• the opposite
en,MP3-spiller,,noun,"MP3-spilleren, MP3-spillere, MP3-spillerne",MP3 player
,mulig,,adj.,"mulig, mulige",possible
ei/en,mulighet,,noun,"muligheta/muligheten, muligheter, mulighetene","possibility, opportunity"
ei/en,multe,,noun,"multa/multen, multer, multene",cloudberry
en,multekrem,,noun,"multekremen, multekremer, multekremene",cloudberries with whip cream
en,munn,,noun,"munnen, munner, munnene",mouth
,muntlig,,adj.,"muntlig, muntlige","oral, spoken"
et,museum,,noun,"museet, museer, museene",museum
en,musiker,,noun,"musikeren, musikere, musikerne",musician
en,musikk,,noun,"musikken, musikker, musikkene",music
ei/en,musikkbygning,,noun,"-bygninga/-bygningen, -bygninger, -bygningene",music building
ei/en,musikkforretning,,noun,"-forretninga/-forretningen, -forretninger, -forretningene",music store
,mye,,adj.,,"much, a lot"
,• Han drakk mye øl.,,,,• He drank a lot of beer.
,mye,,pron.,,"much, a lot"
,• Jeg har mye å gjøre.,,,,• I have a lot to do.
en,mytologi,,noun,"mytologien, mytologier, mytologiene",mythology
et,møbel,,noun,"møbelet, møbler, møblene",piece of furniture
ei/en,møbelforretning,,noun,"-forretninga/-forretningen, -forretninger, -forretningene",furniture store
et,mønster,,noun,"mønsteret, mønstre, mønstrene","pattern, design"
,mørk,,adj.,"mørkt, mørke",dark
ei/en,mørketid,,noun,"mørketida/mørketiden, mørketider, mørketidene",dark time in mid-winter
et,møte,,noun,"møtet, møter, møtene",meeting
å,møtes,,verb,"møtes, møttes, har møttes",meet
,må,,verb,present tense of “måtte”,"must, has to"
å,måke,,verb,"måker, måket/måkte, har måket/har måkt",shovel
,• måke snø,,,,• shovel snow
et,mål,,noun,"målet, mål, målene","purpose, aim, goal"
et,måltid,,noun,"måltidet, måltider, måltidene",meal
en,måne,,noun,"månen, måner, månene",moon
en,måned,,noun,"måneden, måneder, månedene",month
et,månedskort,,noun,"månedskortet, månedskort, månedskortene",monthly transportation pass
en,måte,,noun,"måten, måter, måtene",way
å,måtte,,verb,"må, måtte, har måttet","have to, must"
,,,,,
,,,,,
,,,,,
nabo,,noun,"naboen, naboer, naboene",neighbor,
et,nabolag,,noun,"nabolaget, nabolag, nabolagene",neighborhood
et,naboland,,noun,,
en,nakke,,noun,"nakken, nakker, nakkene",neck
en,narkose,,noun,"narkosen, narkoser, narkosene",anesthesia
en,nasjonaldag,,noun,"nasjonaldagen, nasjonaldager, nasjonaldagene",national day
en,nasjonalitet,,noun,"nasjonaliteten, nasjonaliteter, nasjonalitetene",nationality
en,nasjonalsang,,noun,"nasjonalsangen, nasjonalsanger, nasjonalsangene",national song
ei/en,natt,,noun,"natta/natten, netter, nettene",night
,• om natta,,,,• during the night
,• i natt,,,,• tonight; last night
et,nattbord,,noun,"nattbordet, nattbord, nattbordene",night table
et,nattmenneske,,noun,"nattmennesket, nattmennesker, nattmenneskene",night owl
et,nattskift,,noun,"nattskiftet, nattskift, nattskiftene",night shift
en,natur,,noun,"naturen, naturer, naturene",nature
en,naturattraksjon,,noun,"-attraksjonen, -attraksjoner, -attraksjonene","natural attraction, feature"
et,naturfag,,noun,"naturfaget, naturfag, naturfagene",natural science
et,navn,,noun,"navnet, navn, navnene",name
en,navnedag,,noun,"navnedagen, navnedager, navnedagene",name day
,nede,,adv.,"nede (with location), ned (with motion)",downstairs; down
,• Vi er nede.,,,,We are downstairs.
,• Kommer du ned snart?,,,,• Are you coming downstairs soon?
,nedenfor,,adv.,,below
,negativ,,adj./adv.,"negativt, negative",negative
,nei,,interj.,,no
å,neie,,verb,"neier, neide/neiet, har neid/neiet",curtsey
,nervøs,,adj./adv.,"nervøst, nervøse",nervous
ei/en,nese,,noun,"nesa/nesen, neser, nesene",nose
,• nesa renner,,,,• [my] nose is running
,nesten,,adv.,,almost
et,nett,,noun,"nettet, nett, nettene","internet, web"
,• på nettet,,,,• on the web
en,nevø,,noun,"nevøen, nevøer, nevøene",nephew
,ni,,"det., quan.",,nine
,niende,,"adj., ord.",,ninth
ei/en,niese,,noun,"niesen, nieser, niesene",niece
å,nikke,,verb,"nikker, nikket, har nikket",nod; head a soccer ball
,nitten,,"det., quan.",,nineteen
,nittende,,"adj., ord.",,nineteenth
,nitti,,"det., quan.",,ninety
,nittiende,,"adj., ord.",,ninetieth
et,nivå,,noun,"nivået, nivåer, nivåene",level
,noe,,"det., quan.",,"some, any"
,• Har du noe øl?,,,,• Do you have any beer?
,noe,,pron.,,something
,• Har du noe å gjøre?,,,,• Do you have something to do?
,• Er det noe i veien?,,,,• Is there something wrong?
,noen,,"det., quan.",,"some, any"
,• Jeg har noen venner her.,,,,• I have some friends here.
,noen,,pron.,,"some, someone"
,• Noen liker å danse.,,,,• Some like to dance.
,• Er det noen som bor her?,,,,• Is there someone who lives here?
,nok,,adv.,,enough
,nord,,adv.,,north
,• nord for Trondheim,,,,• north of Trondheim
,Nord-Amerika,,noun,,North America
,Nord-Norge,,noun,,Northern Norway
,Norden,,noun,,"Nordic countries of Norway, Sweden, Denmark, Finland, Iceland, Faroe Islands, and Greenland"
,nordisk,,adj.,"nordisk, nordiske",Nordic
en,nordlending,,noun,"nordlendingen, nordlendinger, nordlendingene",person from Northern Norway
en,nordmann,,noun,"nordmannen, nordmenn, nordmennene",person from Norway
,Nordmarka,,noun,,wilderness area north of Oslo
,Norge,,noun,,Norway
,norsk,,adj.,"norsk, norske",Norwegian
en,norsk,,noun,norsken,Norwegian language
ei/en,norskforelesning,,noun,"-forelesninga/-forelesningen, -forelesninger, -forelesningene","Norwegian lecture, class"
et,norskkurs,,noun,"norskkurset, norskkurs, norskkursene",Norwegian course
en,norsklærer,,noun,"norsklæreren, norsklærere, norsklærerne",Norwegian teacher
en,norsktime,,noun,"norsktimen, norsktimer, norsktimene",Norwegian class hour
,november,,noun,,November
en,nudel,,noun,"nudelen, nudler, nudlene",noodle
et,nummer,,noun,"nummeret, numre, numrene",number
,ny,,adj.,"nytt, nye",new
en,nybegynner,,noun,"nybegynneren, nybegynnere, nybegynnerne",beginner
,nydelig,,adj./adv.,"nydelig, nydelige",beautiful
en,nyhet,,noun,"nyheten, nyheter, nyhetene",news
en,nynorsk,,noun,nynorsken,one of Norway's official languages; it was developed by Ivar Aasen around 1850 and based on several Norwegian dialekts; it is used by 10-15% of people in Norway
å,nyse,,verb,"nyser, nøs, har nyst",sneeze
å,nyte,,verb,"nyter, nøt, har nytt",enjoy
et,nyttår,,noun,"nyttåret, nyttår, nyttårene",New Year
,• Godt nyttår!,,• interj.,,• Happy New Year!
en,nyttårsaften,,noun,"nyttårsaftenen, nyttårsaftener, nyttårsaftenene",New Year’s Eve
,nær,,adj.,"nært, nære","near, close"
en,nærhet,,noun,"nærheten, nærheter, nærhetene","nearness, vicinity"
ei/en,næring,,noun,"næringa/næringen, næringer, næringene",industry
et,nærområde,,noun,"nærområdet, nærområder, nærområdene","vicinity, local area, neighborhood"
en,nøkkel,,noun,"nøkkelen, nøkler, nøklene",key
et,nøtteskall,,noun,"nøtteskallet, nøtteskall, nøtteskallene",nutshell
,• Norge i et nøtteskall,,,,• Norway in a Nutshell (tourist trip)
,nå,,adv.,,now
ei/en,nåtid,,noun,"nåtida/nåtiden, nåtider, nåtidene",present tense
,når,,inter.,,when
,• Når drar du?,,,,• When are you leaving?
,når,,"conj., sub.",,when
,• Jeg jogger når jeg har tid.,,,,• I jog when I have time.
,,,,,
,,,,,
,,,,,
objekt,,noun,"objektet, objekter, objektene",object,
,obligatorisk,,adj.,"obligatorisk, obligatoriske",obligatory
en,odontologi,,noun,odontologien,dentistry
,offentlig,,adj./adv.,"offentlig, offentlige",public
,offisiell,,adj./adv.,"offisielt, offisielle",official; officially
,ofte,,adv.,,"often, frequently"
,og,,"conj., coord.",,and
,• og så videre (osv.),,,,• and so on (etc.)
,også,,adv.,,also
et,oksekjøtt,,noun,"oksekjøttet, oksekjøtt, oksekjøttene",beef
,oktober,,noun,,October
ei/en,olabukse,,noun,"olabuksa/olabuksen, olabukser, olabuksene",jeans
ei/en,olje,,noun,"olja/oljen, oljer, oljene",oil
ei/en,oljeutvinning,,noun,"-utvinninga/-utvinningen, -utvinninger, -utvinningene",oil extraction
,om,,prep.,,about; around; during; in
,• snakke om...,,,,• talk about...
,• om fem dager,,,,• in five days
,• om sommeren,,,,• during the summer
,• om og om igjen,,,,• again and again
,om,,"conj., sub.",,whether; if
,• Han spør om hun er her.,,,,• He asks whether she is here.
ei/en,ombordstigning,,noun,"-stigninga/-stigningen, -stigninger, -stigningene",boarding
en,omelett,,noun,"omeletten, omeletter, omelettene",omelet
en,omgangssyke,,noun,"omgangssyken, omgangssyker, omgangssykene",stomach flu
,omgi,,verb,"omga, har omgitt",surround
,• omgitt av,,,,• surrounded by
å,omringe,,verb,"omringer, omringet, har omringet",surround
,• omringet av,,,,• surrounded by
et,område,,noun,"området, områder, områdene",area
,omtenksom,,adj.,"omtenksomt, omtenksomme","thoughtful, considerate"
ei/en,omvisning,,noun,"omvisninga/omvisningen, omvisninger, omvisningene",guided tour
,ond,,adj./adv.,"ondt, onde","evil, wicked"
en,onkel,,noun,"onkelen, onkler, onklene",uncle
,onsdag,,noun,,Wednesday
en,operasjon,,noun,"operasjonen, operasjoner, operasjonene",operation
å,operere,,verb,"opererer, opererte, har operert",operate
å,oppdage,,verb,"oppdager, oppdaget, har oppdaget",discover
,oppe,,adv.,"oppe (with location), opp (with motion)",up; upstairs; out of bed
,• Barna er oppe.,,,,• The children er upstairs.
,• Jeg går opp nå.,,,,• I am going upstairs now.
å,oppfylle,,verb,"oppfyller, oppfylte, har oppfylt",fulfill
ei/en,oppgave,,noun,"oppgava/oppgaven, oppgaver, oppgavene",school assignment; task
,opplagt,,adj.,"opplagt, opplagte",in a good mood; energetic
å,oppleve,,verb,"opplever, opplevde, har opplevd",experience
en,opplevelse,,noun,"opplevelsen, opplevelser, opplevelsene",experience
,• en god opplevelse,,,,• a good experience
å,oppmuntre,,verb,"oppmuntrer, oppmuntret, har oppmuntret",encourage
ei/en,oppmuntring,,noun,"oppmuntringa/-en, oppmuntringer, oppmuntringene",encouragement
et,opptak,,noun,"opptaket, opptak, opptakene","media recording;
admission to a school"
en,oppvask,,noun,"oppvasken, oppvasker, oppvaskene",dishwashing
,• gjøre oppvask,,,,• do the dishes
en,oppvaskmaskin,,noun,"oppvaskmaskinen, oppvaskmaskiner, oppvaskmaskinene",dishwasher
,oppvokst,,adj.,"oppvokst, oppvokste",raised
,• født og oppvokst,,,,• born and raised
,optimistisk,,adj.,"optimistisk, optimistiske",optimistic
et,ord,,noun,"ordet, ord, ordene",word
ei/en,ordbok,,noun,"ordboka/ordboken, ordbøker, ordbøkene",dictionary
et,ordenstall,,noun,"ordenstallet, ordenstall, ordenstallene",ordinal number
ei/en,ordstilling,,noun,"ordstillinga/ordstilligen, ordstillinger, ordstillingene",word order
å,organisere,,verb,"organiserer, organiserte, har organisert",organize
å,orke,,verb,"orker, orket, har orket","be able to, manage"
,• jeg orker ikke...,,,,• I’m not able to...
et,orkester,,noun,"orkesteren, orkestre, orkestrene",an orchestra
,• spille i orkester,,,,• play in an orchestra
,oss,,"pron., obj.",,us
,• Familien min hjelper oss.,,,,• My family helps us.
,oss,,"pron., refl.",,ourselves
,• Vi koser oss.,,,,• We enjoy ourselves.
en,ost,,noun,"osten, oster, ostene",cheese
en,ostehøvel,,noun,"ostehøvelen, ostehøvler, ostehøvlene",cheese slicer
,osv. (og så videre),,abbrev.,,etc. (etcetera)
,over,,adv./prep.,,over
en,overgangsord,,noun,"overgangsordet, overgangsorder, overgangsordene",transition words
å,overnatte,,verb,"overnatter, overnattet, har overnattet",stay overnight
ei/en,overnatting,,noun,"overnattinga/overnattingen, overnattinger, overnattingene",sleeping accommodations
,overraskende,,adj.,"overraskende, overraskende",surprising
,overskyet,,adj.,"overskyet, overskyede/overskyete","overcast, cloudy"
ei/en,overtid,,noun,"overtida/overtiden, overtider, overtidene",overtime
,overvektig,,adj.,"overvektig, overvektige",overweight
,,,,,
,,,,,
,,,,,
1. påskedag,,noun,"1. påskedagen, 1. påskedager, 1. påskedagene",Easter Sunday,
en,2. påskedag,,noun,"2. påskedagen, 2. påskedager, 2. påskedagene",Easter Monday
en,pai,,noun,"paien, paier, paiene",pie
,Pakistan,,noun,,Pakistan
en,pakistaner,,noun,"pakistaneren, pakistanere, pakistanerne",person from Pakistan
,pakistansk,,adj.,"pakistansk, pakistanske",Pakistani
et,panel,,noun,"panelet, paneler, panelene",wood paneling
,pang,,interj.,,"bang, boom"
ei/en,pannekake,,noun,"pannekaka/pannekaken, pannekaker, pannekakene",pancake
en,pannelugg,,noun,"panneluggen, pannelugger, panneluggene","bangs, short hair on forehead"
et,papir,,noun,"papiret, papirer, papirene",paper
en,pappa,,noun,"pappaen, pappaer, pappaene",dad
en,pappapermisjon,,noun,"pappapermisjonen, pappapermisjoner, pappapermisjonene",paternity leave
en,paprika,,noun,"paprikaen, paprikaer, paprikaene","pepper (green, etc.); spice"
et,par,,noun,"paret, par, parene",pair
,• et par bukser,,,,• pair of pants
,• et par sko,,,,• pair of shoes
,• et par sokker,,,,• pair of socks
en,park,,noun,"parken, parker, parkene",park
å,parkere,,verb,"parkerer, parkerte, har parkert",park
ei/en,parkering,,noun,"parkeringa/parkeringen, parkeringer, parkeringene",parking
en,partner,,noun,"partneren, partnere, partnerne",same-sex partner; project partner; business partner
et,partnerskap,,noun,"partnerskapet, partnerskap, partnerskapene",registered partnership for same-sex couples
å,passe,,verb,"passer, passet, har passet",fit; to take care of
,• passe på barn,,,,• take care of children
,passiv,,adj./adv.,"passivt, passive",passive; passively
en,pastarett,,noun,"pastaretten, pastaretter, pastarettene",pasta dish
en,pastasalat,,noun,"pastasalaten, pastasalater, pastasalatene",pasta salad
en,pause,,noun,"pausen, pauser, pausene","break, pause, intermission"
en,PC,,noun,"PC-en, PC-er, PC-ene",personal computer
ei/en,peanøtt,,noun,"peanøtta/peanøtten, peanøtter, peanøttene",peanut
et,peanøttsmør,,noun,peanøttsmøret,peanut butter
en,pedagogikk,,noun,pedagogikken,pedagogy
en,peis,,noun,"peisen, peiser, peisene",fireplace
ei/en,peisestue,,noun,"peisestua/peisestuen, peisestuer, peisestuene",fireplace room
en,peiskos,,noun,peiskosen,enjoyment by the fire
å,peke,,verb,"peker, pekte, har pekt",point
,pen,,adj./adv.,"pent, pene","pretty, nice, pleasant, fine"
å,pendle,,verb,"pendler, pendlet, har pendlet",commute
en,penge,,noun,"pengen, penger, pengene",money
en,penn,,noun,"pennen, penner, pennene",pen
et,pennal,,noun,"pennalet, pennaler, pennalene",pencil case
en,pensjon,,noun,"pensjonen, pensjoner, pensjonene","pension, retirement"
et,pensjonat,,noun,"pensjonatet, pensjonater, pensjonatene","bed and breakfast, inn"
en,pensjonist,,noun,"pensjonisten, pensjonister, pensjonistene",retiree
ei/en,pepperkake,,noun,"pepperkaka/pepperkaken, pepperkaker, pepperkakene",ginger cookie
et,pepperkakehus,,noun,"pepperkakehuset, pepperkakehus, pepperkakehusene",gingerbread house
et,perfektum,,noun,perfektumet,present perfect
en,perm,,noun,"permen, permer, permene",three-ring binder
en,permisjon,,noun,"permisjonen, permisjoner, permisjonene",leave from work
,persisk,,adj.,"persisk, persiske",Persian
en,persisk,,noun,persisken,Persian language
en,person,,noun,"personen, personer, personene",person
,personlig,,adj./adv.,"personlig, personlige",personal; personally
ei/en,personlighet,,noun,"personligheta/personligheten, personligheter, personlighetene",personality
et,piano,,noun,"pianoet, pianoer, pianoene",piano
en,piknik,,noun,"pikniken, pikniker, piknikene",picnic
en,pils,,noun,"pilsen, pilser, pilsene",pilsner beer
en,pilsner,,noun,"pilsneren, pilsnere, pilsnerne",pilsner beer
en,pingvin,,noun,"pingvinen, pingviner, pingvinene",penguin
et,pinnekjøtt,,noun,pinnekjøttet,dried mutton ribs
et,pitabrød,,noun,"pitabrødet, pitabrød, pitabrødene",pita bread
en,pizza,,noun,"pizzaen, pizzaer, pizzaene",pizza
å,plage,,verb,"plager, plaget, har plaget",bother
et,plagg,,noun,"plagget, plagg, plaggene",garment; article of clothing
en,plakat,,noun,"plakaten, plakater, plakatene",poster
en,plan,,noun,"planen, planer, planene",plan
å,planlegge,,verb,"planlegger, planla, har planlagt",plan
å,plante,,verb,"planter, plantet, har plantet",plant
,• plante blomster,,,,• plant flowers
en,plass,,noun,"plassen, plasser, plassene","place; room, space"
en,plassbillett,,noun,"plassbilletten, plassbilletter, plassbilletene",reserved seat ticket
å,pleie,,verb,"pleier, pleide, har pleid",be accustomed to
,• jeg pleier å stå opp tidlig,,,,• I usually get up early
en,plen,,noun,"plenen, plener, plenene",lawn
et,pling,,noun,"plinget, pling, plingene",a ringing sound
ei/en,plomme,,noun,"plomma/plommen, plommer, plommene",plum
å,plukke,,verb,"plukker, plukket, har plukket",pick
,• plukke blomster,,,,• pick flowers
,• plukke bær,,,,• pick berries
,• plukke sopp,,,,• pick mushrooms
,pluss,,adv.,,"plus, in addition to"
et,pluss,,noun,"plusset, pluss, plussene","plus, advantage"
,• Fem pluss fem er ti.,,,,• Five plus five is ten.
,• Det er et stort pluss!,,,,• That is a big plus!
,plutselig,,adj./adv.,"plutselig, plutselige",sudden; suddenly
en,podkast/poddkast,,noun,"podkasten, podkaster, podkastene",podcast
en,polakk,,noun,"polakken, polakker, polakkene",person from Poland
